ステータス,FC実施年月日,性別,年代,CEFR,在住国,識別用のラベル,流入経路,集客経路
事前Cancel,2025-06-21,不明,不明,不明,不明,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,不明
No Show,2025-06-21,不明,不明,不明,不明,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,不明
入会,2025-06-21,男性,26〜30,A1,日本,hikaku_to_directーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　Jicoo直,検索
事前Cancel,2025-06-21,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
事前Cancel,2025-06-21,不明,不明,不明,不明,ーー,その他（パラメ不明）,不明
入会,2025-06-21,女性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2025-06-21,女性,不明,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
事前Cancel,2025-06-21,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-06-22,男性,36〜45,B1,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,バイリンガール
入会,2025-06-22,女性,26〜30,A2,日本,不明,不明,バイリンガール
FC実施済み,2025-06-22,女性,不明,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-06-22,男性,36〜45,A2,日本,youtube_youtube_01ーyoutubeーyoutube,【YouTube】PIVOTのLP,Pivot
失注,2025-06-22,男性,46〜60,B1,日本,hikaku01ーyahooーcpc,【広告】Yahoo　×　リスティング　×　比較LP,検索
入会,2025-06-22,男性,46〜60,A2,日本,不明,不明,検索
FC実施済み,2025-06-22,男性,不明,不明,日本,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
入会,2025-06-22,女性,36〜45,A1,日本,不明,不明,検索
FC実施済み,2025-06-22,男性,不明,A1,日本,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,検索
事前Cancel,2025-06-22,不明,不明,不明,不明,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,不明
事前Cancel,2025-06-23,不明,不明,不明,不明,不明,不明,不明
入会,2025-06-23,女性,18〜25,A2,日本,不明,不明,バイリンガール
入会,2025-06-23,男性,26〜30,A2,日本,不明,不明,バイリンガール
FC実施済み,2025-06-23,女性,不明,B1,日本,不明,不明,受講生紹介
No Show,2025-06-23,不明,不明,不明,不明,不明,不明,不明
入会,2025-06-23,男性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,受講生紹介
入会後・失注,2025-06-24,男性,不明,A1,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
入会,2025-06-24,女性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
No Show,2025-06-24,不明,不明,不明,不明,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,不明
入会,2025-06-24,男性,31〜35,A2,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,Pivot
FC実施済み,2025-06-24,男性,不明,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,Pivot
FC実施済み,2025-06-24,男性,31〜35,A2,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
事前Cancel,2025-06-24,不明,不明,不明,不明,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
FC実施済み,2025-06-24,男性,36〜45,B2,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,その他
入会,2025-06-24,男性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,Pivot
事前Cancel,2025-06-24,不明,不明,不明,不明,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,不明
No Show,2025-06-25,不明,不明,不明,不明,hikaku01ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP,不明
入会,2025-06-25,女性,46〜60,A2,日本,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,バイリンガール
FC実施済み,2025-06-25,男性,26〜30,A1,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,検索
FC実施済み,2025-06-25,男性,46〜60,B1,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
FC実施済み,2025-06-25,女性,26〜30,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-06-25,男性,36〜45,B1,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
事前Cancel,2025-06-26,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-06-26,男性,36〜45,A2,日本,不明,不明,検索
事前Cancel,2025-06-26,不明,不明,不明,不明,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,不明
事前Cancel,2025-06-26,不明,不明,不明,不明,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
FC実施済み,2025-06-26,男性,26〜30,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-06-26,男性,46〜60,B1,日本,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,検索
事前Cancel,2025-06-27,不明,不明,不明,不明,hikaku01ーyahooーdisplay,【広告】Yahoo　×　ディスプレイ　×　比較LP,不明
入会,2025-06-27,女性,36〜45,A2,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
FC実施済み,2025-06-27,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2025-06-27,女性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
事前Cancel,2025-06-27,不明,不明,不明,不明,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,不明
入会,2025-06-27,女性,36〜45,B1,国外,2505ーcollaboーpeco,【インフルエンサー】Peco・バイリンガールLP（2025年5月公開）,バイリンガール
FC実施済み,2025-06-27,女性,31〜35,A2,日本,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
入会,2025-06-28,女性,不明,B1,日本,2ーInstagramーorganic,【SNS】公式Instagram（2025年2/20~）,その他
事前Cancel,2025-06-28,不明,不明,不明,不明,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
失注,2025-06-28,女性,31〜35,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
失注,2025-06-28,男性,26〜30,不明,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
入会,2025-06-28,男性,31〜35,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-06-28,女性,26〜30,A2,日本,不明,不明,バイリンガール
入会,2025-06-28,女性,18〜25,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2025-06-29,男性,26〜30,A2,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,検索
失注,2025-06-29,女性,36〜45,不明,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-06-29,男性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
事前Cancel,2025-06-29,不明,不明,不明,不明,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
入会,2025-06-29,女性,不明,不明,日本,2505ーcollaboーpeco,【インフルエンサー】Peco・バイリンガールLP（2025年5月公開）,バイリンガール
入会,2025-06-30,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
FC実施済み,2025-06-30,女性,不明,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,比較サイト
No Show,2025-06-30,不明,不明,不明,不明,ーー,その他（パラメ不明）,不明
事前Cancel,2025-06-30,不明,不明,不明,不明,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
入会,2025-06-30,男性,46〜60,B1,日本,hikaku01ーyahooーdisplay,【広告】Yahoo　×　ディスプレイ　×　比較LP,検索
事前Cancel,2025-06-30,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-06-30,女性,46〜60,B1,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,バイリンガール
入会,2025-07-01,女性,36〜45,B1,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
入会,2025-07-01,女性,31〜35,A2,日本,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,受講生紹介
入会,2025-07-01,男性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,タビケン留学
失注,2025-07-01,女性,18〜25,A2,日本,a8_campaign_01ーaffiliatesーaffiliate,【アフィ】a8ネット(旧),検索
FC実施済み,2025-07-01,男性,36〜45,A2,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
入会,2025-07-01,女性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
FC実施済み,2025-07-01,女性,26〜30,B1,日本,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,比較サイト
事前Cancel,2025-07-01,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-07-01,男性,36〜45,A1,日本,ーー,その他（パラメ不明）,比較サイト
入会,2025-07-01,男性,36〜45,A1,日本,english_searchーaffiliatesーaffiliate,【アフィ】english_search,比較サイト
FC実施済み,2025-07-01,男性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,比較サイト
FC実施済み,2025-07-01,男性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
事前Cancel,2025-07-01,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
FC実施済み,2025-07-01,女性,26〜30,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2025-07-02,女性,36〜45,A1,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,検索
入会,2025-07-02,男性,36〜45,A1,日本,不明,不明,受講生紹介
入会,2025-07-02,女性,26〜30,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-07-02,男性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-07-02,男性,31〜35,A2,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,検索
事前Cancel,2025-07-02,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-07-03,男性,31〜35,A2,日本,不明,不明,比較サイト
事前Cancel,2025-07-03,不明,不明,不明,不明,hikaku01ーyahooーdisplay,【広告】Yahoo　×　ディスプレイ　×　比較LP,不明
FC実施済み,2025-07-03,女性,36〜45,A2,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,比較サイト
FC実施済み,2025-07-03,女性,46〜60,A1,日本,a8_campaign_01ーaffiliatesーaffiliate,【アフィ】a8ネット(旧),peco
入会,2025-07-03,女性,46〜60,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
FC実施済み,2025-07-04,女性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2025-07-04,男性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
失注,2025-07-04,男性,36〜45,B1,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,比較サイト
No Show,2025-07-04,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-07-04,女性,36〜45,A1,日本,不明,不明,受講生紹介
入会,2025-07-04,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
事前Cancel,2025-07-04,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
FC実施済み,2025-07-04,女性,不明,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
失注,2025-07-04,男性,31〜35,B1,日本,a8_campaign_01ーaffiliatesーaffiliate,【アフィ】a8ネット(旧),比較サイト
事前Cancel,2025-07-05,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2025-07-05,不明,不明,不明,不明,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,不明
失注,2025-07-05,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,タビケン留学
No Show,2025-07-05,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-07-05,男性,46〜60,B1,日本,collabo01ーMetaーRTG,【広告】Meta　×　RTG（コラボLP）,検索
失注,2025-07-05,不明,不明,不明,不明,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
入会,2025-07-05,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-07-05,女性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
FC実施済み,2025-07-05,女性,31〜35,B1,日本,3ーgoogleーpmax,【広告】Google　×　Pmax　×　新規LP,検索
FC実施済み,2025-07-05,女性,61以上,B1,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
入会,2025-07-05,男性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2025-07-06,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
No Show,2025-07-06,不明,不明,不明,不明,2505ーcollaboーpeco,【インフルエンサー】Peco・バイリンガールLP（2025年5月公開）,不明
入会,2025-07-06,男性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,比較サイト
入会,2025-07-06,男性,46〜60,TOEIC,日本,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,検索
失注,2025-07-06,男性,46〜60,B1,日本,youtube_youtube_01ーyoutubeーyoutube,【YouTube】PIVOTのLP,Pivot
事前Cancel,2025-07-06,不明,不明,不明,不明,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,不明
失注,2025-07-06,男性,31〜35,B1,日本,collabo01ーMetaーRTG,【広告】Meta　×　RTG（コラボLP）,比較サイト
失注,2025-07-06,男性,46〜60,TOEIC,日本,mitsukaru_campaign_01ーaffiliatesーaffiliate,【アフィ】ミツカル,比較サイト
FC実施済み,2025-07-06,女性,不明,A1,日本,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,その他
FC実施済み,2025-07-06,男性,36〜45,A2,日本,不明,不明,比較サイト
入会,2025-07-06,男性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
FC実施済み,2025-07-06,男性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-07-07,男性,31〜35,A2,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,その他
入会,2025-07-07,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
事前Cancel,2025-07-07,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
FC実施済み,2025-07-07,女性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2025-07-07,女性,36〜45,B1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会後・失注,2025-07-07,男性,31〜35,B1,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,バイリンガール
入会,2025-07-08,男性,18〜25,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
失注,2025-07-08,男性,36〜45,TOEIC,日本,ーー,その他（パラメ不明）,検索
入会,2025-07-08,女性,31〜35,B2,日本,ーー,その他（パラメ不明）,バイリンガール
事前Cancel,2025-07-08,不明,不明,不明,不明,不明,不明,不明
事前Cancel,2025-07-08,不明,不明,不明,不明,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,不明
入会,2025-07-08,男性,31〜35,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2025-07-08,女性,46〜60,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
FC実施済み,2025-07-08,男性,36〜45,A2,国外,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
FC実施済み,2025-07-09,女性,26〜30,A1,日本,2505ーcollaboーpeco,【インフルエンサー】Peco・バイリンガールLP（2025年5月公開）,peco
入会,2025-07-09,女性,36〜45,A2,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,バイリンガール
FC実施済み,2025-07-09,男性,46〜60,A1,日本,ーー,その他（パラメ不明）,検索
入会,2025-07-09,女性,36〜45,A2,日本,english_searchーaffiliatesーaffiliate,【アフィ】english_search,バイリンガール
入会,2025-07-09,女性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
FC実施済み,2025-07-09,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
FC実施済み,2025-07-09,女性,26〜30,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
No Show,2025-07-09,不明,不明,不明,不明,ーー,その他（パラメ不明）,不明
入会,2025-07-09,女性,46〜60,A1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,受講生紹介
入会,2025-07-10,女性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2025-07-10,女性,26〜30,B1,国外,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
事前Cancel,2025-07-10,不明,不明,不明,不明,3ーgoogleーpmax,【広告】Google　×　Pmax　×　新規LP,不明
入会後・失注,2025-07-10,女性,18〜25,A1,日本,2505ーcollaboーpeco,【インフルエンサー】Peco・バイリンガールLP（2025年5月公開）,バイリンガール
入会,2025-07-10,女性,46〜60,B1,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
入会,2025-07-10,女性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
事前Cancel,2025-07-10,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-07-11,女性,36〜45,A2,日本,2ーInstagramーorganic,【SNS】公式Instagram（2025年2/20~）,peco
入会,2025-07-11,男性,46〜60,A1,日本,hikaku01ーmicrosoftーcpc,【広告】Microsoft　×　リスティング　×　比較LP,検索
事前Cancel,2025-07-11,不明,不明,不明,不明,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,不明
事前Cancel,2025-07-11,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
FC実施済み,2025-07-11,女性,不明,A2,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,peco
入会後・失注,2025-07-11,女性,31〜35,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,受講生紹介
入会,2025-07-12,男性,18〜25,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
FC実施済み,2025-07-12,女性,36〜45,B2,日本,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,検索
入会,2025-07-12,女性,36〜45,B1,日本,ーー,その他（パラメ不明）,バイリンガール
No Show,2025-07-12,不明,不明,不明,不明,hikaku02ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP,不明
FC実施済み,2025-07-12,女性,36〜45,A2,日本,hikaku03ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP　×　新規LP（訴求変更ver）,検索
No Show,2025-07-12,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-07-12,男性,36〜45,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,Pivot
事前Cancel,2025-07-13,不明,不明,不明,不明,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,不明
失注,2025-07-13,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,その他
FC実施済み,2025-07-13,女性,26〜30,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
FC実施済み,2025-07-13,男性,10代前半,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
No Show,2025-07-13,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
事前Cancel,2025-07-13,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-07-13,女性,26〜30,A2,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,比較サイト
No Show,2025-07-13,不明,不明,不明,不明,hikaku01ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP,不明
No Show,2025-07-13,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会,2025-07-13,男性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
FC実施済み,2025-07-14,男性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
No Show,2025-07-14,不明,不明,不明,不明,a8_campaign_01ーaffiliatesーaffiliate,【アフィ】a8ネット(旧),不明
No Show,2025-07-14,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
入会後・失注,2025-07-14,男性,31〜35,A2,日本,a8_campaign_01ーaffiliatesーaffiliate,【アフィ】a8ネット(旧),検索
FC実施済み,2025-07-14,男性,36〜45,A2,日本,campaign_01ーgoogleーorganic,【広告】Google　×　リスティング　×　指名系（不明）,Instagram
入会,2025-07-14,男性,31〜35,A2,日本,ーー,その他（パラメ不明）,検索
事前Cancel,2025-07-15,不明,不明,不明,不明,2505ーcollaboーpeco,【インフルエンサー】Peco・バイリンガールLP（2025年5月公開）,不明
失注,2025-07-15,女性,36〜45,B1,日本,collabo01ーMetaーRTG,【広告】Meta　×　RTG（コラボLP）,検索
FC実施済み,2025-07-15,男性,31〜35,A2,日本,1ーInstagramーorganic,【※使用しない】公式Instagram＋Gリスティング＋コエテコ＋その他多数,バイリンガール
失注,2025-07-15,女性,18〜25,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2025-07-15,女性,36〜45,B1,日本,hikaku01ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP,検索
失注,2025-07-15,男性,46〜60,B1,日本,kakakucom_campaign_01ーaffiliatesーaffiliate,【アフィ】価格コム,比較サイト
事前Cancel,2025-07-15,不明,不明,不明,不明,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,不明
失注,2025-07-15,男性,26〜30,A2,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,比較サイト
入会,2025-07-16,男性,36〜45,A2,日本,2ーgoogleーpmax,【広告】Google　×　Pmax　×　通常LP,受講生紹介
FC実施済み,2025-07-16,男性,31〜35,B2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,その他
FC実施済み,2025-07-16,女性,46〜60,A1,日本,a8_campaign_01ーaffiliatesーaffiliate,【アフィ】a8ネット(旧),検索
入会,2025-07-16,女性,26〜30,B1,国外,ーー,その他（パラメ不明）,タビケン留学
入会,2025-07-16,女性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,比較サイト
失注,2025-07-16,女性,46〜60,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,比較サイト
FC実施済み,2025-07-16,女性,61以上,A2,日本,hikaku01ーgoogleーcpc,【広告】Google　×　リスティング　×　比較LP,比較サイト
入会,2025-07-16,女性,36〜45,A2,日本,ーー,その他（パラメ不明）,検索
入会,2025-07-16,女性,36〜45,B1,日本,campaign_01ーyoutubeーcpc,"【インフルエンサー】Peco・バイリンガールLP(MetaのRTG)
※SNS・先方youtube概要欄にも発見されたため修正必要",peco
FC実施済み,2025-07-17,男性,31〜35,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,比較サイト
入会,2025-07-17,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2025-07-17,女性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
FC実施済み,2025-07-17,男性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
FC実施済み,2025-07-17,女性,10代前半,A2,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,peco
入会,2025-07-17,男性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
入会,2025-07-18,男性,36〜45,B1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,バイリンガール
FC実施済み,2025-07-18,男性,36〜45,A1,日本,campaign_01ーorganicーorganic,【オーガニック】指名＋SEO＋LINE経由,検索
入会,2025-07-18,女性,36〜45,B1,国外,youtube_youtube_01ーyoutubeーyoutube,【YouTube】PIVOTのLP,Pivot
